Supplier,JIANFENG METAL PRODUCTS PLC,Date,2023-06-09,,,,,,,,,,,
RHS01,25,25,1.4,1.5,6,6.594,107,802.75,85894.01739,121.74,923.16,98778.12,RH1.4#25#25#1.5RH,7.065
RHS02,60,60,1.8,2,6,20.3472,50,2423.97,121198.5391,119.13,2787.5664,139378.32,RH1.8#60#60#2RH,22.608
RHS03,40,40,1.8,2,6,13.5648,200,1615.98,323196.1043,119.13,1858.3776,371675.52,RH1.8#40#40#2RH,15.072
RHS04,40,60,1.8,2,6,16.956,75,2019.97,151497.75,119.13,2322.972,174222.9,RH1.8#40#60#2RH,18.84
RHS05,30,30,1.4,1.5,6,7.9128,125,963.3,120412.1739,121.74,1107.792,138474,RH1.4#30#30#1.5RH,8.478
RHS06,20,20,0.8,1,6,3.0144,100,390.57,39057,129.57,449.1456,44914.56,RH0.8#20#20#1RH,3.768
RHS07,30,30,0.8,1,6,4.5216,100,585.84,58584.2087,129.57,673.7184,67371.84,RH0.8#30#30#1RH,5.652
RHS08,20,30,0.8,1,6,3.768,25,488.2,48820.17391,129.57,561.432,56143.2,RH0.8#20#30#1RH,4.71
RHS09,20,40,1.4,1.5,6,7.9128,150,963.3,144494.6087,121.74,1107.792,166168.8,RH1.4#20#40#1.5RH,8.478
RHS10,40,40,1.4,1.5,6,10.5504,200,1284.4,256879.3043,121.74,1477.056,295411.2,RH1.4#40#40#1.5RH,11.304
RHS11,40,60,1.4,1.5,6,13.188,75,1605.5,120412.1739,121.74,1846.32,138474,RH1.4#40#60#1.5RH,14.13
RHS12,60,60,1.4,1.5,6,15.8256,75,1926.59,144494.6087,121.74,2215.584,166168.8,RH1.4#60#60#1.5RH,16.956
RHS13,50,50,1.4,1.5,6,13.188,125,1605.5,200686.9565,121.74,1846.32,230790,RH1.4#50#50#1.5RH,14.13
RHS14,80,80,1.4,1.5,6,21.1008,50,2568.82,128441,121.74,2954.143,147707.15,RH1.4#80#80#1.5RH,22.608
RHS15,80,80,1.8,2,6,27.1296,50,3231.97,161598.5,119.13,3716.7552,185837.76,RH1.8#80#80#2RH,30.144
CP01,25,,1.4,1.5,6,5.17629,75,640.23,48017.25,123.69,736.26,55219.8375,CP1.4#25#1.5CP,5.546025
CP02,50,,1.4,1.5,6,10.35258,75,1280.45,96033.75,123.68,1472.5175,110438.8125,CP1.4#50#1.5CP,11.09205
CP03,60,,1.4,1.5,6,12.423096,75,1519.91,113993.25,122.35,1747.89,131091.75,CP1.4#60#1.5CP,13.31046
CP04,38,,1,1.2,6,5.619972,75,720.27,54020.21739,128.16,828.31,62123.25,CP1#38#1.2CP,6.7439664
CP05,32,,1,1.2,6,4.732608,75,604.87,45365.21739,127.81,695.6,52170,CP1#32#1.2CP,5.6791296
CP06,25,,1,1.2,6,3.69735,75,480.18,36013.5,129.87,552.207,41415.525,CP1#25#1.2CP,4.43682
L01,L,38,1,1.2,6,7.065,151,903.1,136368.1,127.83,1038.565,156823.315,L1#38#1.2L,8.478
T01,T,38,1,1.2,6,8.1954,74,1047.54,77517.96,127.82,1204.671,89145.654,T1#38#1.2T,9.83448
Z01,Z,38,1,1.2,6,8.1954,75,1047.54,78565.5,127.82,1204.671,90350.325,Z1#38#1.2Z,9.83448
