Supplier,JIANFENG METAL PRODUCTS PLC,Date,2023-06-09,,,,,,,,,,,
RHS08,20,30,0.8,1,6,3.768,75,488.2,48820.17391,129.57,561.432,56143.2,RH0.8#20#30#1RH,4.71
RHS16,20,20,1,1.2,6,3.768,175,481.65,84288.52174,127.83,553.896,96931.8,RH1#20#20#1.2RH,4.5216
RHS17,50,50,1.8,2,6,16.956,75,2019.97,151497.75,119.13,2322.972,174222.9,RH1.8#50#50#2RH,18.84
RHS18,25,25,1,1.2,6,4.71,175,602.06,105360.6522,127.83,692.37,121164.75,RH1#25#25#1.2RH,5.652
RHS19,30,30,1,1.2,6,5.652,175,722.47,126432.7826,127.83,830.844,145397.7,RH1#30#30#1.2RH,6.7824
RHS20,20,30,1,1.2,6,4.71,175,602.06,105360.6522,127.83,692.37,121164.75,RH1#20#30#1.2RH,5.652
RHS21,40,40,1,1.2,6,7.536,200,963.3,192659.4783,127.83,1107.792,221558.4,RH1#40#40#1.2RH,9.0432
RHS22,20,40,1,1.2,6,5.652,75,722.47,54185.47826,127.83,830.844,62313.3,RH1#20#40#1.2RH,6.7824
RHS23,40,40,0.8,1,6,6.0288,200,781.12,156224.5565,129.57,898.2912,179658.24,RH0.8#40#40#1RH,7.536
RHS24,25,25,0.8,1,6,3.768,175,488.2,85435.30435,129.57,561.432,98250.6,RH0.8#25#25#1RH,4.71
RHS25,30,30,1.8,2,6,10.1736,75,1212.03,90902.25,119.13,1393.8345,104537.5875,RH1.8#30#30#2RH,11.304
